Ref_Date,GEO,PRO,PIP,STA,Vector,Coordinate,Value
2017/08,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,139925400.0
2017/09,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,132090461.0
2017/10,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,132965491.0
2017/11,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,134428914.0
2017/12,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,143490138.0
2018/01,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,140844818.0
2018/02,Canada,Crude oil and equivalent products,Receipts from fields and plants,Barrels,v107705255,1.1.2.2,128973940.0
2016/03,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2306162.0
2016/04,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,1921320.0
2016/05,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2163453.0
2016/06,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2395553.0
2016/07,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2740450.0
2016/08,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2846904.0
2016/09,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2808392.0
2016/10,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2548798.0
2016/11,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2468346.0
2016/12,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2160080.0
2017/01,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2304222.0
2017/02,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,1941754.0
2017/03,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2318016.0
2017/04,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2105225.0
2017/05,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,1816674.0
2017/06,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,1603291.0
2017/07,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2377149.0
2017/08,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2440200.0
2017/09,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2304010.0
2017/10,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2282323.0
2017/11,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2244106.0
2017/12,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2327527.0
2018/01,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2473894.0
2018/02,Canada,Crude oil and equivalent products,Other receipts,Cubic metres,v107705256,1.1.3.1,2082796.0
2016/03,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,14505298.0
2016/04,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,12084719.0
2016/05,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,13607687.0
2016/06,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,15067549.0
2016/07,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,17236882.0
2016/08,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,17906457.0
2016/09,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,17664224.0
2016/10,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,16031430.0
2016/11,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,15525403.0
2016/12,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,13586471.0
2017/01,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,14493096.0
2017/02,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,12213244.0
2017/03,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,14579857.0
2017/04,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,13241444.0
2017/05,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,11426516.0
2017/06,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,10084380.0
2017/07,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,14951792.0
2017/08,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,15348370.0
2017/09,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,14491762.0
2017/10,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,14355355.0
2017/11,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,14114978.0
2017/12,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,14639679.0
2018/01,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,15560298.0
2018/02,Canada,Crude oil and equivalent products,Other receipts,Barrels,v107705257,1.1.3.2,13100370.0
2016/03,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14139164.0
2016/04,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,12588817.0
2016/05,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,12742265.0
2016/06,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,12258763.0
2016/07,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,13022157.0
2016/08,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14380773.0
2016/09,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,13712941.0
2016/10,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,13770623.0
2016/11,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14451087.0
2016/12,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,15028123.0
2017/01,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,15355453.0
2017/02,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,13644165.0
2017/03,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14823884.0
2017/04,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14431973.0
2017/05,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14736790.0
2017/06,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,13953182.0
2017/07,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14549913.0
2017/08,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14738139.0
2017/09,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14408508.0
2017/10,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14562010.0
2017/11,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,13351187.0
2017/12,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,14497790.0
2018/01,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,15415473.0
2018/02,Canada,Crude oil and equivalent products,Exports,Cubic metres,v107705258,1.1.4.1,13710367.0
2016/03,Canada,Crude oil and equivalent products,Exports,Barrels,v107705259,1.1.4.2,88932514.0
